Type,Start,End,Duration,Total Energy (kJ),Active Energy (kJ),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed(km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Traditional Strength Training,2023-08-10 07:50,2023-08-10 08:15,00:25:29,1164,947.21,161,120.92,,,589,0.385,,,,,
Traditional Strength Training,2023-08-09 07:12,2023-08-09 08:17,01:04:47,3286,2627,152,121.89,,,663,0.171,,,,,
Traditional Strength Training,2023-08-07 16:23,2023-08-07 17:52,01:29:46,3450,2585,152,103.95,,,1159,0.215,,,,,
Cycling,2023-08-07 07:51,2023-08-07 08:03,00:11:38,785.65,580.53,147,120.73,3.87,19.98,168,0.241,,,2.0,7.23,
Traditional Strength Training,2023-08-06 08:41,2023-08-06 09:49,01:08:12,3153,2472,165,116.32,,,1913,0.467,,,,,
Traditional Strength Training,2023-08-05 14:28,2023-08-05 16:08,01:40:00,4777,3908,162,123.76,,,781,0.13,,,,,
Traditional Strength Training,2023-08-04 07:05,2023-08-04 08:01,00:55:30,3159,2576,164,128.37,,,875,0.263,,,,,
Cycling,2023-08-03 16:43,2023-08-03 17:07,00:23:45,1179,978.33,156,110.1,2.32,5.87,120,0.084,,,16.628364670655348,6.73,
Traditional Strength Training,2023-08-02 07:10,2023-08-02 07:59,00:48:20,1979,1579,148,113.73,,,525,0.181,,,,,
Traditional Strength Training,2023-07-31 16:21,2023-07-31 17:48,01:27:57,4101,3252,163,118.99,,,1113,0.211,,,,,
Cycling,2023-07-31 16:07,2023-07-31 16:21,00:13:23,804.64,697.41,163,125.13,2.7,12.11,350,0.436,,,11.0,,
Cycling,2023-07-31 07:56,2023-07-31 08:07,00:11:21,788.1,582.41,150,126.73,3.88,20.51,139,0.204,,,3.0,16.6,
Traditional Strength Training,2023-07-30 17:18,2023-07-30 19:16,01:57:44,4995,4010,161,119.3,,,2014,0.285,,,,,
Running,2023-07-29 16:36,2023-07-29 16:59,00:22:25,1474,1287,174,153.18,3.26,8.73,3126,2.32,,,10.705088921289562,42.21,
Cycling,2023-07-28 17:26,2023-07-28 17:46,00:20:51,1026,754.98,166,131.34,3.88,11.17,141,0.113,,,,7.86,
Traditional Strength Training,2023-07-28 07:58,2023-07-28 08:49,00:51:05,2699,2268,168,127.98,,,739,0.241,,,5.0,,
Cycling,2023-07-27 17:06,2023-07-27 17:32,00:26:01,1251,972.59,131,104.45,3.51,8.09,195,0.125,,,9.0,62.22,
Cycling,2023-07-27 08:02,2023-07-27 08:17,00:14:39,799.87,574.89,154,127.07,3.93,16.08,174,0.198,,,3.0,41.18,
Traditional Strength Training,2023-07-26 15:13,2023-07-26 15:52,00:38:55,2576,2133,168,141.97,,,435,0.186,,,,,
Cycling,2023-07-25 16:34,2023-07-25 16:47,00:13:36,981.6,749.86,149,132.13,3.79,16.74,846,1.04,,,10.0,,
Traditional Strength Training,2023-07-25 07:04,2023-07-25 08:11,01:07:42,3402,2713,162,124.16,,,1166,0.287,,,,,
Traditional Strength Training,2023-07-24 06:59,2023-07-24 08:09,01:09:51,3046,2347,161,117.92,,,1249,0.298,,,,,
